slug,url,in_db
uudrt-no-30-tahun-1950,https://peraturan.go.id/id/uudrt-no-30-tahun-1950,N
uudrt-no-31-tahun-1950,https://peraturan.go.id/id/uudrt-no-31-tahun-1950,N
uudrt-no-32-tahun-1950,https://peraturan.go.id/id/uudrt-no-32-tahun-1950,N
uudrt-no-33-tahun-1950,https://peraturan.go.id/id/uudrt-no-33-tahun-1950,N
uudrt-no-34-tahun-1950,https://peraturan.go.id/id/uudrt-no-34-tahun-1950,N
uudrt-no-35-tahun-1950,https://peraturan.go.id/id/uudrt-no-35-tahun-1950,N
uudrt-no-36-tahun-1950,https://peraturan.go.id/id/uudrt-no-36-tahun-1950,N
uudrt-no-37-tahun-1950,https://peraturan.go.id/id/uudrt-no-37-tahun-1950,N
uudrt-no-38-tahun-1950,https://peraturan.go.id/id/uudrt-no-38-tahun-1950,N
uudrt-no-39-tahun-1950,https://peraturan.go.id/id/uudrt-no-39-tahun-1950,N
uudrt-no-40-tahun-1950,https://peraturan.go.id/id/uudrt-no-40-tahun-1950,N
uudrt-no-41-tahun-1950,https://peraturan.go.id/id/uudrt-no-41-tahun-1950,N
uudrt-no-42-tahun-1950,https://peraturan.go.id/id/uudrt-no-42-tahun-1950,N
uudrt-no-43-tahun-1950,https://peraturan.go.id/id/uudrt-no-43-tahun-1950,N
