slug,nomor,tahun,tentang,source_url,pdf_url,local_pdf_path
perppu-no-19-tahun-1960,19,1960,PERUSAHAAN NEGARA,https://peraturan.go.id/id/perppu-no-19-tahun-1960,https://peraturan.go.id/files/PERPUNomor19Tahun1960_PERPUNomor19Tahun1960.pdf,
perppu-no-2-tahun-1960,2,1960,PERGUDANGAN,https://peraturan.go.id/id/perppu-no-2-tahun-1960,NO_PDF,
perppu-no-20-tahun-1960,20,1960,KEWENANGAN PERIJINAN YANG DIBERIKAN  MENURUT PERUNDANG-UNDANGAN MENGENAI SENJATA API,https://peraturan.go.id/id/perppu-no-20-tahun-1960,https://peraturan.go.id/files/PERPUNomor20Tahun1960_PERPUNomor20Tahun1960.pdf,
perppu-no-21-tahun-1960,21,1960,BANK PEMBANGUNAN INDONESIA,https://peraturan.go.id/id/perppu-no-21-tahun-1960,https://peraturan.go.id/files/PERPUNomor21Tahun1960_PERPUNomor21Tahun1960.pdf,
perppu-no-22-tahun-1960,22,1960,PERPANJANGAN JANGKA WAKTU BERLAKUNYA PERALIHAN YANG TERSEBUT PADA PASAL 61 PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG NOMOR 23 TAHUN 1959,https://peraturan.go.id/id/perppu-no-22-tahun-1960,https://peraturan.go.id/files/PERPUNomor22Tahun1960_PERPUNomor22Tahun1960.pdf,
perppu-no-23-tahun-1960,23,1960,RAHASIA BANK,https://peraturan.go.id/id/perppu-no-23-tahun-1960,https://peraturan.go.id/files/PERPUNomor23Tahun1960_PERPUNomor23Tahun1960.pdf,
perppu-no-24-tahun-1960,24,1960,"PENGUSUTAN, PENUNTUTAN DAN PEMERIKSAAN TINDAK PIDANA KORUPSI",https://peraturan.go.id/id/perppu-no-24-tahun-1960,NO_PDF,
perppu-no-25-tahun-1960,25,1960,PERUBAHAN UNDANG-UNDANG DARURAT NOMOR 3 TAHUN 1958 (LEMBARAN NEGARA 1958 NOMOR 43),https://peraturan.go.id/id/perppu-no-25-tahun-1960,https://peraturan.go.id/files/PERPUNomor25Tahun1960_PERPUNomor25Tahun1960.pdf,
perppu-no-26-tahun-1960,26,1960,"PERUBAHAN PASAL 27 DAN PASAL 28 UNDANG-UNDANG  DARURAT NOMOR 7 TAHUN 1955,  SEBAGAIMANA TELAH DIUBAH DAN  DITAMBAH,  TERAKHIR DENGAN PERATURAN PEMERINTAH PENGGANTI UNDANG  NOMOR 1 TAHUN 1960",https://peraturan.go.id/id/perppu-no-26-tahun-1960,https://peraturan.go.id/files/PERPUNomor26Tahun1960_PERPUNomor26Tahun1960.pdf,
perppu-no-27-tahun-1960,27,1960,TENTANG UANG HONORARIUM JURU SUMPAH,https://peraturan.go.id/id/perppu-no-27-tahun-1960,https://peraturan.go.id/files/PERPUNomor27Tahun1960_PERPUNomor27Tahun1960.pdf,
perppu-no-28-tahun-1960,28,1960,"ANCAMAN HUKUMAN TERHADAP PEMBELIAN, PENERIMAAN, PENYERAHAN  PENGUASAAN, KEPUNYAAN, PERSEDIAAN ATAU DALAM MILIK,  PENYIMPANAN, PENGANGKUTAN ATAU PEMBAWAAN BARANG LOGAM D.K.A DENGAN TIDAK MEMPUNYAI SURAT IZIN",https://peraturan.go.id/id/perppu-no-28-tahun-1960,https://peraturan.go.id/files/PERPUNomor28Tahun1960_PERPUNomor28Tahun1960.pdf,
perppu-no-29-tahun-1960,29,1960,POKOK-POKOK PENYELENGGARAAN TRANSMIGRASI,https://peraturan.go.id/id/perppu-no-29-tahun-1960,https://peraturan.go.id/files/PERPUNomor29Tahun1960_PERPUNomor29Tahun1960__1.pdf,
perppu-no-3-tahun-1960,3,1960,PENGUASAAN BENDA-BENDA TETAP MILIK PERSEORANGAN WARGA NEGARA BELANDA,https://peraturan.go.id/id/perppu-no-3-tahun-1960,https://peraturan.go.id/files/PERPUNomor3Tahun1960.pdf,
perppu-no-30-tahun-1960,30,1960,PELEBURAN BANK INDUSTRI NEGARA KE DALAM BANK PEMBANGUNAN INDONESIA,https://peraturan.go.id/id/perppu-no-30-tahun-1960,https://peraturan.go.id/files/PERPUNomor30Tahun1960_PERPUNomor30Tahun1960.pdf,
perppu-no-31-tahun-1960,31,1960,PERUBAHAN DAN TAMBAHAN UNDANG-UNDANG DARURAT NOMOR 3 TAHUN 1959 (LEMBARAN NEGARA NOMOR 43) TENTANG PINJAMAN OBLIGASI BERHADIAH TAHUN 1959,https://peraturan.go.id/id/perppu-no-31-tahun-1960,https://peraturan.go.id/files/PERPUNomor31Tahun1960_PERPUNomor31Tahun1960.pdf,
